,PRESS_PCA,PRESS_NRM,PRESS_diff
dim84,1659938910483.6118,1656245481178.4597,-3693429305.1521
dim85,1660099739051.1506,1655671485853.0483,-4428253198.102295
dim86,1663699016956.1035,1660126397510.1648,-3572619445.9387207
dim87,1669039801878.0403,1665027203549.9043,-4012598328.1359854
dim88,1677108779186.0305,1671592836425.111,-5515942760.919434
dim89,1685402243150.3257,1681066622492.1404,-4335620658.185303
dim90,1679957773614.3545,1675540864008.5674,-4416909605.787109
dim91,1682881006924.2737,1678195359911.3926,-4685647012.881104
dim92,1690193297156.115,1686646469151.19,-3546828004.925049
dim93,1684647435214.8523,1680161314353.2913,-4486120861.561035
dim94,1688412018260.3994,1684900868760.2097,-3511149500.1896973
dim95,1694563131545.31,1689863306779.5322,-4699824765.777832
dim96,1707399260798.98,1703254401544.7576,-4144859254.222412
dim97,1719157287100.7107,1716437776550.7698,-2719510549.940918
dim98,1732896489417.768,1731855967505.7432,-1040521912.0249023
dim99,1738192676941.758,1738945314622.1057,752637680.3476562
dim100,1746199281247.6492,1746062512250.7502,-136768996.89892578
dim101,1751596871001.963,1753731646815.285,2134775813.3220208
dim102,1754111449792.558,1756006252040.3547,1894802247.7966309
dim103,1770974114712.8826,1773084694105.2466,2110579392.3640137
dim104,1774495757308.1064,1775699053105.747,1203295797.640625
dim105,1772540226725.7532,1773401902448.1587,861675722.4055176
dim106,1774680398926.6838,1777811814221.8389,3131415295.1550293
dim107,1775199874828.0957,1777942034945.9028,2742160117.807129
dim108,1783846565926.087,1790916531492.415,7069965566.328125
dim109,1784108077721.067,1791152342079.2532,7044264358.186279
dim110,1816356475786.008,1826566616367.5537,10210140581.545654
dim111,3797853249085.301,3808095112629.734,10241863544.433104
dim112,6497437243026.125,6504421797144.557,6984554118.431641
dim113,8537166470564.045,8536552349288.353,-614121275.6923828
dim114,6750942016877.832,6816793070664.307,65851053786.47461
dim115,4550768291232.196,4579677642850.2295,28909351618.033203
dim116,3310711650157.5454,3333367133061.416,22655482903.870605
dim117,2805086312868.6816,2839863627554.3506,34777314685.668945
dim118,2545680702794.619,2570592091495.932,24911388701.31299
dim119,2499084291005.12,2570592091495.932,71507800490.81201
dim120,1994906007493.0908,2570592091495.932,575686084002.8413
dim121,1994906007493.0908,2570592091495.932,575686084002.8413
dim122,1994906007493.0908,2570592091495.932,575686084002.8413
dim123,1994906007493.0908,2570592091495.932,575686084002.8413
dim124,1994906007493.0908,2570592091495.932,575686084002.8413
dim125,1994906007493.0908,2570592091495.932,575686084002.8413
dim126,1994906007493.0908,2570592091495.932,575686084002.8413
dim127,1994906007493.0908,2570592091495.932,575686084002.8413
dim128,1994906007493.0908,2570592091495.932,575686084002.8413
dim129,1994906007493.0908,2570592091495.932,575686084002.8413
dim130,1994906007493.0908,2570592091495.932,575686084002.8413
dim131,1994906007493.0908,2570592091495.932,575686084002.8413
dim132,1994906007493.0908,2570592091495.932,575686084002.8413
dim133,1994906007493.0908,2570592091495.932,575686084002.8413
dim134,1994906007493.0908,2570592091495.932,575686084002.8413
dim135,1994906007493.0908,2570592091495.932,575686084002.8413
dim136,1994906007493.0908,2570592091495.932,575686084002.8413
dim137,1994906007493.0908,2570592091495.932,575686084002.8413
dim138,1994906007493.0908,2570592091495.932,575686084002.8413
dim139,1994906007493.0908,2570592091495.932,575686084002.8413
dim140,1994906007493.0908,2570592091495.932,575686084002.8413
dim141,1994906007493.0908,2570592091495.932,575686084002.8413
dim142,1994906007493.0908,2570592091495.932,575686084002.8413
dim143,1994906007493.0908,2570592091495.932,575686084002.8413
dim144,1994906007493.0908,2570592091495.932,575686084002.8413
dim145,1994906007493.0908,2570592091495.932,575686084002.8413
dim146,1994906007493.0908,2570592091495.932,575686084002.8413
dim147,1994906007493.0908,2570592091495.932,575686084002.8413
dim148,1994906007493.0908,2570592091495.932,575686084002.8413
dim149,1994906007493.0908,2570592091495.932,575686084002.8413
dim150,1994906007493.0908,2570592091495.932,575686084002.8413
