,PRESS_PCA,PRESS_NRM,PRESS_diff
dim63,1544484341148.6968,1541335481973.5872,-3148859175.109619
dim64,1543052834755.1384,1540680134780.229,-2372699974.909424
dim65,1534695238871.0002,1530921276688.4316,-3773962182.568604
dim66,1533910830040.5662,1530006393899.0146,-3904436141.5515137
dim67,1536741205150.0378,1533082535900.8528,-3658669249.1850586
dim68,1536239911419.561,1532096327227.0205,-4143584192.5405273
dim69,1536677495225.818,1531760417613.7644,-4917077612.053711
dim70,1540677472133.7576,1536754584713.4895,-3922887420.2680655
dim71,1539935998676.53,1535905103570.5254,-4030895106.004639
dim72,1538914091570.019,1535557219859.6812,-3356871710.3378906
dim73,1541627671456.848,1538115438425.328,-3512233031.5200195
dim74,1549627558046.1245,1545890566653.745,-3736991392.3793945
dim75,1544902232011.5205,1540669166181.941,-4233065829.57959
dim76,1542210790216.7524,1538009644316.8918,-4201145899.860596
dim77,1541741657880.7688,1537431929738.9846,-4309728141.78418
dim78,1543273695232.3022,1539290163967.9924,-3983531264.309816
dim79,1539807695829.3604,1535605949008.5227,-4201746820.837648
dim80,1539967348136.4412,1536216686974.288,-3750661162.153076
dim81,1543145446878.4695,1540042932737.192,-3102514141.277588
dim82,1541450216050.5325,1537908119187.5735,-3542096862.9589844
dim83,1542716104160.7224,1539097594536.393,-3618509624.3293457
dim84,1538349927413.544,1535198948950.9932,-3150978462.550781
dim85,1532487303190.3765,1529012009604.92,-3475293585.456543
dim86,1529151962493.1675,1524567816242.2063,-4584146250.961182
dim87,1529982940968.2046,1525920061008.3206,-4062879959.884033
dim88,1528352610957.2712,1524598666982.4473,-3753943974.823975
dim89,1528142653113.183,1523774452666.3523,-4368200446.830811
dim90,1524066833780.8467,1519694422580.1665,-4372411200.680176
dim91,1525586005801.0918,1521107596986.4211,-4478408814.670654
dim92,1524883379326.0205,1520547367272.218,-4336012053.80249
dim93,1521434706056.2532,1517095572499.4802,-4339133556.772949
dim94,1523778977592.5725,1519452192589.6382,-4326785002.934326
dim95,1521246158104.2722,1517404513028.338,-3841645075.934326
dim96,1520180171492.2375,1516439691356.6123,-3740480135.625244
dim97,1523448767246.2544,1519551266968.794,-3897500277.460449
dim98,1522643036441.607,1518353052896.2043,-4289983545.402588
dim99,1522591349089.1272,1518100500426.9148,-4490848662.212402
dim100,1521249661829.0332,1516753012709.6292,-4496649119.404053
dim101,1520092507414.0627,1515502862845.1516,-4589644568.911133
dim102,1524826195422.0945,1520613159478.6484,-4213035943.446045
dim103,1522544420933.025,1518219643426.8347,-4324777506.190186
dim104,1522962013688.55,1518668048597.6108,-4293965090.939209
dim105,1522779481883.0088,1518624556272.3508,-4154925610.657959
dim106,1523137174642.5923,1518947178554.3306,-4189996088.261719
dim107,1523481386198.87,1519163820326.0935,-4317565872.776611
dim108,1525979360668.6462,1521451656074.3115,-4527704594.334717
dim109,1522606544336.0305,1517523770673.413,-5082773662.617432
dim110,1523202679505.548,1518533913222.0168,-4668766283.53125
dim111,1524910887353.2969,1520238265959.3372,-4672621393.959717
dim112,1525891100635.9329,1521346530837.6309,-4544569798.302002
dim113,1524914046307.8003,1520273671986.113,-4640374321.687256
dim114,1526818074378.3826,1522747205851.8726,-4070868526.51001
dim115,1529422814149.16,1525174959747.3572,-4247854401.8027344
dim116,1530895352033.144,1526863010041.7354,-4032341991.4086914
dim117,1530761369723.008,1526594956610.026,-4166413112.9821777
dim118,1528203586232.1726,1523637994553.7957,-4565591678.376953
dim119,1523608811840.7534,1519395995604.3818,-4212816236.371582
dim120,1527223586325.795,1523054633744.416,-4168952581.378906
dim121,1526911511300.7625,1522846330077.7944,-4065181222.9680176
dim122,1528272723374.3132,1523973877526.6082,-4298845847.705078
dim123,1530067892385.0918,1525910888679.732,-4157003705.3598633
dim124,1530174850480.3416,1525765976455.667,-4408874024.674561
dim125,1531799641211.0122,1527605182976.4888,-4194458234.5234375
dim126,1536848969138.6428,1532946630010.0066,-3902339128.636232
dim127,1541354619975.4617,1537759987754.2568,-3594632221.204834
dim128,1538978927840.6062,1535034567424.907,-3944360415.699218
dim129,1535582938404.4363,1531693066957.7832,-3889871446.653076
dim130,1535504886791.9463,1532002850954.6968,-3502035837.249512
dim131,1538711692710.7097,1534999914513.116,-3711778197.59375
dim132,1538559936085.6453,1534763706564.5437,-3796229521.1015625
dim133,1539855869910.2112,1535919318938.3557,-3936550971.8554688
dim134,1542174811235.4502,1538156060812.1135,-4018750423.33667
dim135,1540092115946.3523,1536072775280.458,-4019340665.894287
dim136,1542057669181.7766,1538109032457.3225,-3948636724.4541016
dim137,1536959673214.7727,1532841137610.2744,-4118535604.498291
dim138,1542222469442.288,1538918143642.598,-3304325799.690185
dim139,1542353826705.9836,1538778304360.9963,-3575522344.9873047
dim140,1548720290854.1196,1545383436257.8457,-3336854596.273926
dim141,1549792028860.664,1546803101445.6584,-2988927415.005615
dim142,1552753414544.8262,1549650032060.2915,-3103382484.534668
dim143,1557270278199.715,1554465247347.3845,-2805030852.3305664
dim144,1555268254777.7998,1552687731924.5002,-2580522853.2995605
dim145,1557012683845.847,1554346212925.2068,-2666470920.6401367
dim146,1560184256627.3938,1558045825772.025,-2138430855.3688965
dim147,1561283614173.2158,1558378969158.6182,-2904645014.597656
dim148,1563947082863.51,1561269169541.6775,-2677913321.8325195
dim149,1571211953665.4795,1569053962635.0327,-2157991030.4467773
dim150,1571813986288.2568,1569503520105.3315,-2310466182.925293
