,dim_PCA,dim_PCA_std,percent_NRM,percent_NRM_std,PRESS_PCA,PRESS_NRM,PRESS_PCA_std,PRESS_NRM_std,PRESS_diff,PRESS_diff_std,PRESS_pVal,PRESS_PCA_c1,PRESS_PCA_c2,PRESS_PCA_c3,PRESS_PCA_c4,PRESS_PCA_c5,PRESS_PCA_c6,PRESS_PCA_c7,PRESS_PCA_c8,PRESS_PCA_c9,PRESS_PCA_c10,PRESS_NRM_c1,PRESS_NRM_c2,PRESS_NRM_c3,PRESS_NRM_c4,PRESS_NRM_c5,PRESS_NRM_c6,PRESS_NRM_c7,PRESS_NRM_c8,PRESS_NRM_c9,PRESS_NRM_c10,cosine_PCA,cosine_NRM,cosine_diff,cosine_diff_std,cosine_pVal
92.5%,15.24,1.3124023773218332,93.98270271206665,0.0476770371882716,2098971084791.1084,2108341958924.6743,328085412577.12933,334020464616.69415,9370874133.565052,12580848510.923122,8.94981124911862e-10,60085664534.74248,79107653552.19707,1070225251549.5453,305435081099.085,75015233180.20242,60438434433.58123,27449759252.044865,50311674103.90855,67830933479.194725,303071399606.60724,60709647282.22052,80143789758.97601,1078065823589.6217,306436668114.93304,75099908022.05035,60401126212.91834,27399190045.541405,50098756594.47277,68072353627.584785,301914695676.35486,0.8951610145816609,0.8948100503864098,-0.000350964195251835,0.0005481923342112736,3.6967556145162853e-08
93.0%,18.45,1.5321553446044556,94.40507344493193,0.034315053816178706,2106650577900.8936,2126244169035.3687,333245419413.6704,345887339854.6086,19593591134.47558,18705667944.383533,2.0762237175488676e-16,59087694127.99257,73893472175.6306,1115714349130.5176,267499757347.26697,78155928538.97717,64647372847.75144,28455860054.322407,62715195945.71241,68447521834.121544,288033425898.6002,60656245127.75764,75975888366.42516,1129660519738.6902,269219186055.8726,79054773939.91537,64669124890.08632,28544752086.399036,63050594370.535,69295979098.0802,286117105361.6075,0.8985993489600099,0.8977869957052782,-0.0008123532547319889,0.0008372657355289313,7.245464848115237e-16
93.5%,22.39,1.7140303381212358,94.82231208245439,0.029025506332842795,2054850402423.3135,2074778489269.4915,318805569696.4128,335074453421.41113,19928086846.17728,23432520518.749386,6.777516682777735e-14,47904114517.75137,59282905506.23662,1112813123550.9902,245825084931.05292,76103186651.32263,66818213075.65213,30920080742.99566,69956619928.30508,71359737960.13547,273867335558.87155,49162196496.62583,61993676506.52487,1128526037032.4521,246646560025.8938,77442901783.809,66904139453.607574,31133746412.844727,70783312392.98051,72766300866.75325,269419618298.00024,0.9050054773243821,0.9043058809714039,-0.0006995963529777394,0.0011733922797879388,2.4928276934275358e-11
94.0%,27.06,1.7766260157951088,95.23986755733648,0.02226747239933762,1928704662544.355,1946410251854.3066,289563170121.31116,305235081777.45276,17705589309.951794,20293737354.86522,8.802809816566192e-14,38661007708.9874,46994659158.058,1036212208484.6736,222470603785.62152,68633376655.4267,66723098118.23013,31740963026.640446,69733137640.60199,66191574705.332306,281344033260.7819,39875088863.871956,49374440586.03913,1049564574978.2817,223562903825.2313,69952546942.29,66841169191.87968,31971852030.81398,70939413263.04878,67319234302.812126,277009027870.0379,0.9108324155069575,0.9101916956298065,-0.0006407198771511846,0.0008608705581522115,1.866648441514812e-13
94.5%,32.35,1.9202864369671508,95.65239718197324,0.022392261741093197,1812455484703.6462,1828160289301.4172,246902783096.69656,262870007994.29495,15704804597.771606,34332447568.098076,1.4977997686776422e-10,32065214563.210358,40163097124.158134,966876054327.4688,208696177990.95688,61953579113.29428,65609973989.33127,31035378002.53754,63105949285.74112,59351999640.00337,283598060666.94434,33024846923.208073,42512964248.48351,978104960063.0741,209379717562.35995,63043649413.84308,65706257297.05456,31283962621.04182,64277526119.86293,60569767128.784225,280256637923.70544,0.915522030636742,0.9150044438821991,-0.0005175867545426605,0.0011021453265304896,9.521106397643388e-11
95.0%,38.26,1.9474085344374978,96.06107400814135,0.0194118778167965,1734641613258.5293,1741746706136.2017,218597743055.62143,230156564754.55157,7105092877.673631,19208855923.76279,3.2326779258988665e-07,28287779259.389336,34691655802.87615,915808536650.8877,204971998771.7995,56947567517.353645,64451925669.6912,30239231982.824818,59379547453.00823,54498288714.3963,285365081436.3015,28855628862.99525,36536597808.52359,920643082698.9052,205341474179.99362,57801835705.57177,64531866299.757614,30469766418.41119,60227304307.24272,55632951054.51143,281706198800.28955,0.9185312439451736,0.9182152065709382,-0.00031603737423581467,0.0007307696401437115,6.751982352861727e-10
95.5%,44.87,1.9372919243108406,96.46728316227302,0.017057486351034563,1670096449046.297,1675573052149.0068,191167347561.9003,200075552462.29703,5476603102.709487,12324979678.752913,4.965959424148884e-05,25518597611.404163,30535616968.491688,874266531994.9772,202393092193.37387,53516268069.571396,63044241918.73099,29336797581.32232,52743376022.61807,49171425473.32901,289570501212.47906,25698242858.09469,32221147312.68985,878296091156.3918,202570170378.78613,54173512965.26122,63103711232.96703,29541630219.16947,53587677943.46777,50464333213.53156,285916534868.647,0.9210459143000805,0.9208346459684315,-0.00021126833164921032,0.0006769159338346539,2.766870616083989e-09
96.0%,52.31,1.9529208893347412,96.87058441380096,0.014349212554591198,1626557474417.605,1629230153448.9094,179953158362.68948,187551730381.992,2672679031.3053,10101325045.318125,0.03302646611305504,24133703029.105587,28762726335.543636,840360208346.7278,202204380769.10242,51289802256.76836,61662752831.02622,28216283360.643295,48843446534.24989,46381645000.85316,294702525953.58435,24593783893.80293,30158295807.733902,841953298035.5582,202133154590.09106,51706964150.92272,61713286832.5248,28469037212.680126,49597338957.8012,47343442203.12444,291561551764.6709,0.9221181754545908,0.9219125118499867,-0.00020566360460503864,0.00037155037541846097,5.7735411846228725e-08
96.5%,60.77,1.9331580380300004,97.27226337459291,0.012784631716836132,1580672950493.2822,1578315551925.2712,156402137773.43127,163781581776.89346,-2357398568.0110154,21829816348.794456,0.5704943464345489,23177755943.21531,26829082842.425934,809614655531.1088,203014356302.62997,50456371799.993904,59993123539.23926,26869285361.834957,44310876213.58165,41757493040.59448,294649949918.65735,23462546804.354767,27855568158.27793,807170940470.6478,203002146693.25894,50721400135.06508,59949215766.54573,27106994787.94608,44915889634.71573,42537741244.13118,291593108230.3274,0.9234772271793183,0.923401019624734,-7.620755458372929e-05,0.000414201586347123,0.0003583721548458866
97.0%,70.46,1.9463812576162982,97.67125070580637,0.01194107118050449,1540096917919.954,1536519345257.1628,145478142140.67267,151412657320.10892,-3577572662.789983,11877145764.723927,0.00027872626309333583,22382456929.758125,24736362828.859936,783277748351.3721,202102172524.2871,49263620146.119835,58590895352.4937,25647169015.690044,42417693866.590256,37354682213.10508,294324116691.6777,22638853788.51384,25682925251.66779,780275882789.3647,202020815702.89957,49466876471.33318,58597854087.891754,25867864825.750645,42774678762.16794,37832118131.53218,291361475446.0419,0.924792296656896,0.9247788013661481,-1.3495290748588573e-05,0.0003690575990948384,0.2565231689671972
97.5%,81.72,1.8977881862842312,98.06681452980496,0.009251043656669457,1508385978056.3127,1505627041426.0706,125365265616.92221,129371553812.19098,-2758936630.2416115,6870493188.762425,2.8586825773647623e-05,21883924354.86075,23001149058.223515,761713458636.8093,201506402544.98425,48958725907.18167,57683790680.07744,24542121209.270775,40609801216.20339,34568665776.454895,293917938672.247,22114373071.495102,23732717967.561527,759620548067.8801,201318458539.3424,49118165322.36672,57668122233.6882,24705566516.490986,40872684691.72371,35238162739.106094,291238242276.41626,0.9259577698618413,0.9259376011848179,-2.0168677023119086e-05,0.00024891910595599133,0.9205734335120058
98.0%,95.29,1.8291801442176214,98.46300668297499,0.007499146118343275,1479250946315.2275,1474959255503.7031,124409034052.19737,127821710703.51855,-4291690811.5260034,5341593823.671756,1.3379830845101028e-10,21452642012.758827,21698409588.713882,739474736387.6729,201438382221.5755,48860822860.906296,56735172514.946884,23946172991.08385,39959557850.70339,33158987266.97548,292526062619.89185,21618761177.87739,22269679825.960392,736122209442.609,201334836811.63376,48996240766.725105,56706422204.679474,24086758681.285034,40098067817.31254,33633650363.079254,290092628412.54034,0.9268834154970164,0.9269361701525564,5.2754655539946074e-05,0.00021284945933214047,0.0040917391418793594
98.5%,112.02,1.8383688422076798,98.85418068924226,0.0064995580534674465,1476063751552.1257,1471954848852.8545,124354786757.95442,127340746181.57715,-4108902699.2713943,4433663829.315642,7.794993252575682e-12,21211642941.551598,21040840146.116676,733052596398.5001,203968997975.38928,48983120875.470795,56374051035.4369,23768285434.99678,40432573329.5507,31080090474.79129,296151552940.3218,21346435356.64403,21505261632.622665,729822486262.9208,203902153087.0277,49107447492.65629,56335574032.1665,23884761871.244205,40539756950.73801,31457997558.479385,294052974608.355,0.9268383804590143,0.9268840260858388,4.5645626824541986e-05,0.0001657524427934783,0.003874622132922701
99.0%,134.31,1.641310452047388,99.2437198187557,0.0038420666364385185,1501159398531.796,1498376666686.9211,123678939517.69011,126239898479.82616,-2782731844.873662,4230859661.4022,1.8912999100252485e-08,21272152081.341442,20493052575.642086,746922888595.5764,209248857737.57355,48493494322.98965,56190176792.99661,24043980079.147507,42331800424.69656,28883143480.457607,303279852441.37415,21360267267.66751,20828333167.86243,744756391228.1572,209340280883.51065,48585500007.88777,56140828407.654015,24141174027.48792,42443407946.0932,29173151409.20462,301607332341.3963,0.9257363910062169,0.9257634272842317,2.7036278014753722e-05,0.00017453368041217237,0.13473933100822336
99.5%,168.79,1.4162979912433689,99.63022337827444,0.0024036142945954493,1526853903208.4329,1526124159967.9624,133497730769.94922,134514529057.26944,-729743240.4714673,6656525753.021187,0.000623607772709155,20406348299.56994,21508876068.87916,760629565489.8469,215865292633.76743,47471646702.32002,56965361239.81705,24880488627.0985,42257759682.88289,27108178222.217968,309760386242.0331,20539067991.357704,21798009299.744976,760322326227.2445,215987359467.32983,47527864273.67236,56918017740.32252,24918651652.391163,42303295884.73535,27324668847.183697,308484898583.97943,0.9245099024865919,0.9244622209827622,-4.7681503829960506e-05,0.0002821993808376516,0.41908693342222414
