,dim_PCA,percent_NRM,PRESS_PCA,PRESS_NRM,PRESS_diff,PRESS_PCA_c1,PRESS_PCA_c2,PRESS_PCA_c3,PRESS_PCA_c4,PRESS_PCA_c5,PRESS_PCA_c6,PRESS_PCA_c7,PRESS_PCA_c8,PRESS_PCA_c9,PRESS_PCA_c10,PRESS_NRM_c1,PRESS_NRM_c2,PRESS_NRM_c3,PRESS_NRM_c4,PRESS_NRM_c5,PRESS_NRM_c6,PRESS_NRM_c7,PRESS_NRM_c8,PRESS_NRM_c9,PRESS_NRM_c10,cosine_PCA,cosine_NRM,cosine_diff
85.0%,4,87.30016609734363,5448339335980.632,5448310760065.959,-28575914.672851562,122614649598.8236,45697171100.02762,4005831219233.5938,441218091161.6365,101922375742.59842,106276916304.57637,66768979182.11316,67042770967.7548,51684333167.34723,439282829522.1593,122621207178.62683,45694770938.56279,4005795213882.685,441209379463.9184,101922645326.99498,106283701625.46216,66768987600.959854,67047134713.40333,51684346311.40111,439283373023.94415,0.8237828124708774,0.8237823266588757,-4.858120016271172e-07
85.5%,4,87.30016609734363,5448339335980.632,5448310760065.959,-28575914.672851562,122614649598.8236,45697171100.02762,4005831219233.5938,441218091161.6365,101922375742.59842,106276916304.57637,66768979182.11316,67042770967.7548,51684333167.34723,439282829522.1593,122621207178.62683,45694770938.56279,4005795213882.685,441209379463.9184,101922645326.99498,106283701625.46216,66768987600.959854,67047134713.40333,51684346311.40111,439283373023.94415,0.8237828124708774,0.8237823266588757,-4.858120016271172e-07
86.0%,4,87.30016609734363,5448339335980.632,5448310760065.959,-28575914.672851562,122614649598.8236,45697171100.02762,4005831219233.5938,441218091161.6365,101922375742.59842,106276916304.57637,66768979182.11316,67042770967.7548,51684333167.34723,439282829522.1593,122621207178.62683,45694770938.56279,4005795213882.685,441209379463.9184,101922645326.99498,106283701625.46216,66768987600.959854,67047134713.40333,51684346311.40111,439283373023.94415,0.8237828124708774,0.8237823266588757,-4.858120016271172e-07
86.5%,5,88.97867850208043,5975303687531.95,5975189545780.975,-114141750.97558594,151938679303.0499,62134428187.80384,4207480022693.206,455440230739.53204,109307457527.01758,97231169754.54176,66943190879.563675,61859330574.59451,39451035430.010284,723518142442.6295,151947834734.47183,62133260814.85759,4207460944860.794,455380532109.9665,109307833457.32764,97223601898.41351,66943657322.993484,61865914567.717125,39451104996.22658,723474861018.206,0.7994075876389461,0.7994107855222842,3.1978833380241767e-06
87.0%,5,88.97867850208043,5975303687531.95,5975189545780.975,-114141750.97558594,151938679303.0499,62134428187.80384,4207480022693.206,455440230739.53204,109307457527.01758,97231169754.54176,66943190879.563675,61859330574.59451,39451035430.010284,723518142442.6295,151947834734.47183,62133260814.85759,4207460944860.794,455380532109.9665,109307833457.32764,97223601898.41351,66943657322.993484,61865914567.717125,39451104996.22658,723474861018.206,0.7994075876389461,0.7994107855222842,3.1978833380241767e-06
87.5%,5,88.97867850208043,5975303687531.95,5975189545780.975,-114141750.97558594,151938679303.0499,62134428187.80384,4207480022693.206,455440230739.53204,109307457527.01758,97231169754.54176,66943190879.563675,61859330574.59451,39451035430.010284,723518142442.6295,151947834734.47183,62133260814.85759,4207460944860.794,455380532109.9665,109307833457.32764,97223601898.41351,66943657322.993484,61865914567.717125,39451104996.22658,723474861018.206,0.7994075876389461,0.7994107855222842,3.1978833380241767e-06
88.0%,5,88.97867850208043,5975303687531.95,5975189545780.975,-114141750.97558594,151938679303.0499,62134428187.80384,4207480022693.206,455440230739.53204,109307457527.01758,97231169754.54176,66943190879.563675,61859330574.59451,39451035430.010284,723518142442.6295,151947834734.47183,62133260814.85759,4207460944860.794,455380532109.9665,109307833457.32764,97223601898.41351,66943657322.993484,61865914567.717125,39451104996.22658,723474861018.206,0.7994075876389461,0.7994107855222842,3.1978833380241767e-06
88.5%,6,90.36288678891063,7881673922850.101,7881503504741.429,-170418108.671875,211647176421.97552,890694002157.1616,4372017896954.905,1491250920378.2407,103382103486.54996,171958284249.8015,36264797145.936516,38775403301.62375,41513769983.07094,524169568770.8341,211697798949.73102,890723084554.7935,4372018165925.3906,1490996378241.4287,103382176330.8449,171957209389.061,36264907857.63327,38769271134.10081,41513732759.01724,524180779599.4278,0.7684844382415325,0.7684807340609207,-3.7041806117965592e-06
89.0%,6,90.36288678891063,7881673922850.101,7881503504741.429,-170418108.671875,211647176421.97552,890694002157.1616,4372017896954.905,1491250920378.2407,103382103486.54996,171958284249.8015,36264797145.936516,38775403301.62375,41513769983.07094,524169568770.8341,211697798949.73102,890723084554.7935,4372018165925.3906,1490996378241.4287,103382176330.8449,171957209389.061,36264907857.63327,38769271134.10081,41513732759.01724,524180779599.4278,0.7684844382415325,0.7684807340609207,-3.7041806117965592e-06
89.5%,7,91.24217492494394,100383747480157.31,100566335538221.97,182588058064.65625,240507903478.9025,102213147541.68349,92073331333777.78,4814320923974.715,324996976374.73444,572676043963.4618,24702483102.33971,30196408649.80087,605493173118.9159,1595309086174.9546,240639153701.1603,102055246574.63757,92244611273151.8,4821388151043.528,324928987650.19586,572927398001.546,24702340519.23595,30183666930.395878,605448378065.8966,1599450942583.5857,0.6977662615554989,0.6977049001369592,-6.136141853974042e-05
