,PRESS_PCA,PRESS_NRM,PRESS_diff
dim88,1509551550872.4397,1505525531315.916,-4026019556.5236816
dim89,1504860488043.7195,1500468196327.431,-4392291716.288574
dim90,1502199450053.7937,1498511995957.587,-3687454096.206787
dim91,1498945174075.8325,1494994721110.3647,-3950452965.467773
dim92,1494800961699.059,1490894535861.713,-3906425837.346192
dim93,1495238691960.6262,1491177310238.6772,-4061381721.948975
dim94,1494580542715.7642,1490688684232.167,-3891858483.597168
dim95,1492716914393.4744,1488624368147.0305,-4092546246.443848
dim96,1493088559963.218,1488859172457.7554,-4229387505.462648
dim97,1492340996343.2544,1488354462386.9187,-3986533956.335693
dim98,1494411844637.4795,1489861082061.2024,-4550762576.2771
dim99,1493109812317.8662,1488499525511.964,-4610286805.9021
dim100,1494730525195.8977,1490720179868.2903,-4010345327.607422
dim101,1493653210516.7812,1489524887197.619,-4128323319.1623535
dim102,1495285141662.645,1491197831981.4175,-4087309681.227539
dim103,1495828216463.276,1491969882137.069,-3858334326.206787
dim104,1497246714069.6104,1493403455726.1838,-3843258343.4265137
dim105,1498930619310.3037,1495283169228.2224,-3647450082.081299
dim106,1500771215978.4446,1496827672178.8752,-3943543799.569336
dim107,1500672713244.116,1496707683214.339,-3965030029.776856
dim108,1502823968116.3088,1499450066678.46,-3373901437.848877
dim109,1502724046302.7993,1499348705598.1572,-3375340704.64209
dim110,1500073074099.5137,1496153155243.6418,-3919918855.871826
dim111,1503939948280.4265,1500027433752.144,-3912514528.282471
dim112,1501931737410.257,1497348531240.848,-4583206169.40918
dim113,1502665479387.9043,1498172289672.2117,-4493189715.692627
dim114,1499126059310.329,1495057526528.8418,-4068532781.4873047
dim115,1495052094629.9814,1490682844244.9868,-4369250384.994629
dim116,1495117719329.1597,1491189074782.9353,-3928644546.224365
dim117,1498740117271.5503,1494764738327.3032,-3975378944.2470703
dim118,1498363204730.4468,1494894022274.2642,-3469182456.182617
dim119,1499187497864.442,1495495920606.814,-3691577257.6279297
dim120,1501332392535.8271,1498220404997.333,-3111987538.4941406
dim121,1503720644075.7554,1500439665834.5244,-3280978241.230957
dim122,1505077939247.0818,1501426568761.0825,-3651370485.999268
dim123,1505740688663.5857,1503235287390.0718,-2505401273.513916
dim124,1505342263809.6392,1502155102387.531,-3187161422.1081543
dim125,1507394450380.8984,1504090885552.7236,-3303564828.1748047
dim126,1508370337814.9055,1505446150445.8047,-2924187369.10083
dim127,1510007059459.1829,1506843956524.7063,-3163102934.4765625
dim128,1510622662200.1863,1507635664915.569,-2986997284.6171875
dim129,1505300805727.7556,1502217024638.625,-3083781089.130615
dim130,1509381503870.2122,1506455009771.9485,-2926494098.263672
dim131,1512345972269.529,1509690879132.873,-2655093136.656006
dim132,1514449606642.0952,1511741299591.0366,-2708307051.0585938
dim133,1511888898581.895,1508917157913.058,-2971740668.836914
dim134,1508494591858.5066,1506214291362.7295,-2280300495.7771
dim135,1511694343635.484,1508405786004.99,-3288557630.4938965
dim136,1507452095124.6296,1504532771738.6023,-2919323386.027344
dim137,1507555065750.3962,1504696260107.5122,-2858805642.884033
dim138,1511063562245.72,1508246232163.7524,-2817330081.9675293
dim139,1514329977346.2378,1511783382014.181,-2546595332.056885
dim140,1516369768228.634,1513612601113.1355,-2757167115.498535
dim141,1518822093208.3694,1516880255733.7588,-1941837474.610596
dim142,1517937990527.3406,1515683476521.1497,-2254514006.190918
dim143,1517768232030.011,1514890871627.8245,-2877360402.1865234
dim144,1516544397372.877,1514191404531.98,-2352992840.8969727
dim145,1514764747707.955,1511378445995.107,-3386301712.8481445
dim146,1516165949601.711,1513176209987.068,-2989739614.6428223
dim147,1514717663425.8015,1511863114417.472,-2854549008.32959
dim148,1516449235025.4993,1513448642997.2302,-3000592028.269043
dim149,1516597508469.5078,1512894963066.1074,-3702545403.400391
dim150,1518681476318.9893,1515564456018.1797,-3117020300.8095703
