,PRESS_PCA,PRESS_NRM,PRESS_diff
dim116,1458029609787.3418,1454261660491.9165,-3767949295.425293
dim117,1459390960157.3245,1455032895314.118,-4358064843.206543
dim118,1461101189179.2778,1456883982498.706,-4217206680.571777
dim119,1461426421545.9563,1457836597123.536,-3589824422.42041
dim120,1460476501542.913,1456693179524.4165,-3783322018.496582
dim121,1461095162757.0918,1456964972818.106,-4130189938.98584
dim122,1458155946819.1296,1453389649231.5757,-4766297587.553955
dim123,1458380529293.3037,1454719076595.9106,-3661452697.3930655
dim124,1458069725312.6035,1454325491189.82,-3744234122.7834473
dim125,1457214882429.624,1453629245543.0242,-3585636886.599853
dim126,1457676907317.9702,1454158907027.09,-3518000290.880127
dim127,1459703769901.6794,1456104657136.12,-3599112765.559326
dim128,1459867566080.0315,1456276437512.9424,-3591128567.089112
dim129,1458144271966.566,1454590685920.2944,-3553586046.2714844
dim130,1458565157901.2605,1454892877002.8965,-3672280898.3640137
dim131,1459454166890.0571,1454958477992.301,-4495688897.756104
dim132,1459605175294.6482,1455945264401.8445,-3659910892.803711
dim133,1461058995471.1345,1457263752646.4824,-3795242824.6521
dim134,1461281218868.8252,1458068271270.775,-3212947598.050293
dim135,1464691294446.1306,1461274398816.286,-3416895629.8447266
dim136,1465160961311.1704,1461679350098.795,-3481611212.3754883
dim137,1465006505419.175,1461902770365.8672,-3103735053.3078613
dim138,1465740669101.6787,1462613006465.0986,-3127662636.580078
dim139,1467919716949.7454,1464732202800.1274,-3187514149.61792
dim140,1467757553054.3113,1464440272698.5896,-3317280355.72168
dim141,1466025833020.119,1462632912342.2468,-3392920677.8720703
dim142,1466146990971.6228,1462943493402.7358,-3203497568.886963
dim143,1465648712949.2944,1462912856378.1775,-2735856571.116944
dim144,1466864735261.134,1463172589119.6584,-3692146141.475586
dim145,1466622861008.2263,1463026868804.551,-3595992203.675293
dim146,1466650240507.6924,1463392109244.224,-3258131263.4682617
dim147,1467929196478.058,1464871057617.4329,-3058138860.625244
dim148,1468394902996.525,1465317810169.9902,-3077092826.534668
dim149,1469709795264.877,1466681727718.1592,-3028067546.7177734
dim150,1469802980893.137,1466794479822.7698,-3008501070.3671875
